aluno_id,lat,lon
aluno_177,-31.327991,-54.097572
aluno_178,-31.334848,-54.082723
aluno_179,-31.33798,-54.082116
aluno_180,-31.346605,-54.129361
aluno_181,-31.340577,-54.117663
aluno_182,-31.339815,-54.127966
aluno_183,-31.337431,-54.109685
aluno_184,-31.312063,-54.119869
aluno_185,-31.31302,-54.122564
aluno_186,-31.322013,-54.10324
aluno_187,-31.341319,-54.119754
aluno_188,-31.338216,-54.104171
aluno_189,-31.332342,-54.110715
aluno_190,-31.321954,-54.113443
aluno_191,-31.32211,-54.103787
aluno_192,-31.345519,-54.112457
aluno_193,-31.335237,-54.090248
aluno_194,-31.337848,-54.097933
aluno_195,-31.326607,-54.129612
aluno_196,-31.345532,-54.090498
aluno_197,-31.322123,-54.080616
aluno_198,-31.325474,-54.08372
aluno_199,-31.321825,-54.085547
aluno_200,-31.348797,-54.115793
aluno_201,-31.316623,-54.09911
aluno_202,-31.349646,-54.086167
aluno_203,-31.325661,-54.094321
aluno_204,-31.343078,-54.122629
aluno_205,-31.339426,-54.126063
aluno_206,-31.338547,-54.108727
aluno_207,-31.317306,-54.098518
aluno_208,-31.336631,-54.124597
aluno_209,-31.324982,-54.082891
aluno_210,-31.311986,-54.123452
aluno_211,-31.318023,-54.101769
aluno_212,-31.346261,-54.093076
aluno_213,-31.314323,-54.08203
aluno_214,-31.329329,-54.093238
aluno_215,-31.315167,-54.102099
aluno_216,-31.349046,-54.093777
aluno_217,-31.332009,-54.083912
aluno_218,-31.325732,-54.096404
aluno_219,-31.311786,-54.103357
aluno_220,-31.318975,-54.080575
aluno_221,-31.340803,-54.122282
aluno_222,-31.321954,-54.120946
aluno_223,-31.332891,-54.12275
aluno_224,-31.326119,-54.093956
aluno_225,-31.322165,-54.086884
aluno_226,-31.315376,-54.125238
aluno_227,-31.347541,-54.109313
aluno_228,-31.317558,-54.08555
aluno_229,-31.332193,-54.129153
aluno_230,-31.329194,-54.08494
aluno_231,-31.339644,-54.129946
aluno_232,-31.340517,-54.090532
aluno_233,-31.335806,-54.117729
aluno_234,-31.33635,-54.116749
aluno_235,-31.341406,-54.118847
aluno_236,-31.316122,-54.114621
aluno_237,-31.317778,-54.108689
aluno_238,-31.321129,-54.08165
aluno_239,-31.327914,-54.115085
aluno_240,-31.325171,-54.085318
aluno_241,-31.320189,-54.085523
aluno_242,-31.312433,-54.096767
aluno_243,-31.329471,-54.080291
aluno_244,-31.310004,-54.121794
aluno_245,-31.338191,-54.101065
aluno_246,-31.318361,-54.126859
aluno_247,-31.344107,-54.125571
aluno_248,-31.328627,-54.08501
aluno_249,-31.342487,-54.101193
aluno_250,-31.339271,-54.114815
aluno_251,-31.322002,-54.120505
aluno_252,-31.344352,-54.101714
aluno_253,-31.34352,-54.123618
aluno_254,-31.323734,-54.087061
aluno_255,-31.331435,-54.103805
aluno_256,-31.315255,-54.129773
aluno_257,-31.314078,-54.084479
aluno_258,-31.349143,-54.100637
aluno_259,-31.325473,-54.083815
aluno_260,-31.343914,-54.087196
aluno_261,-31.320172,-54.107019
aluno_262,-31.311071,-54.110117
aluno_263,-31.333068,-54.086419
aluno_264,-31.344819,-54.081887
aluno_265,-31.31091,-54.114289
aluno_266,-31.328483,-54.095325
aluno_267,-31.348276,-54.128802
aluno_268,-31.317021,-54.102715
aluno_269,-31.34795,-54.118775
aluno_270,-31.327997,-54.099767
aluno_271,-31.341128,-54.094715
aluno_272,-31.317035,-54.113255
aluno_273,-31.341585,-54.085911
aluno_274,-31.344882,-54.110391
aluno_275,-31.332887,-54.08103
aluno_276,-31.341296,-54.080456
aluno_277,-31.345384,-54.122656
aluno_278,-31.341314,-54.108335
aluno_279,-31.323318,-54.108101
aluno_280,-31.313789,-54.087899
aluno_281,-31.316624,-54.118622
aluno_282,-31.316923,-54.124883
aluno_283,-31.316468,-54.08459
aluno_284,-31.320279,-54.117191
aluno_285,-31.334478,-54.091284
aluno_286,-31.33135,-54.11081
aluno_287,-31.347522,-54.124252
aluno_288,-31.315697,-54.080161
aluno_289,-31.317683,-54.107392
aluno_290,-31.334,-54.10134
aluno_291,-31.340479,-54.112446
aluno_292,-31.322842,-54.09002
aluno_293,-31.318551,-54.083002
aluno_294,-31.326954,-54.090305
aluno_295,-31.325049,-54.09082
aluno_296,-31.3199,-54.108928
aluno_297,-31.313618,-54.080157
aluno_298,-31.32041,-54.111766
aluno_299,-31.347613,-54.082276
aluno_300,-31.342671,-54.09211
aluno_301,-31.349893,-54.087163
aluno_302,-31.314905,-54.10554
aluno_303,-31.34326,-54.120639
aluno_304,-31.32545,-54.09162
aluno_305,-31.335317,-54.123427
aluno_306,-31.345841,-54.102865
aluno_307,-31.345099,-54.09534
aluno_308,-31.332465,-54.126385
aluno_309,-31.346355,-54.100417
aluno_310,-31.342945,-54.120524
aluno_311,-31.334567,-54.118726
aluno_312,-31.334505,-54.087217
aluno_313,-31.313074,-54.088946
aluno_314,-31.310792,-54.12056
aluno_315,-31.315878,-54.122837
aluno_316,-31.319597,-54.092838
aluno_317,-31.3258,-54.100974
aluno_318,-31.320814,-54.090093
aluno_319,-31.341915,-54.102836
aluno_320,-31.319139,-54.100132
aluno_321,-31.345812,-54.093166
aluno_322,-31.318845,-54.086518
aluno_323,-31.314056,-54.098157
aluno_324,-31.345539,-54.104541
aluno_325,-31.311816,-54.121267
aluno_326,-31.316722,-54.109463
aluno_327,-31.349495,-54.095174
aluno_328,-31.326708,-54.093642
aluno_329,-31.348555,-54.104594
aluno_330,-31.338139,-54.080779
aluno_331,-31.344281,-54.123864
aluno_332,-31.316259,-54.111056
aluno_333,-31.335835,-54.099058
aluno_334,-31.310569,-54.082533
aluno_335,-31.341859,-54.102473
aluno_336,-31.339697,-54.12903
aluno_337,-31.326117,-54.117419
aluno_338,-31.314385,-54.081372
aluno_339,-31.328333,-54.101754
aluno_340,-31.334628,-54.11479
aluno_341,-31.341131,-54.083787
aluno_342,-31.327608,-54.121724
aluno_343,-31.332183,-54.105004
aluno_344,-31.3477,-54.105084
aluno_345,-31.340641,-54.095702
aluno_346,-31.343524,-54.093188
aluno_347,-31.342577,-54.125634
aluno_348,-31.311294,-54.092159
aluno_349,-31.339732,-54.091828
aluno_350,-31.321195,-54.127558
aluno_351,-31.327151,-54.127526
aluno_352,-31.310799,-54.105292
aluno_353,-31.331321,-54.094866
aluno_354,-31.33037,-54.116216
aluno_355,-31.313478,-54.08191
aluno_356,-31.312776,-54.127866
aluno_357,-31.340751,-54.118252
aluno_358,-31.34919,-54.08687
aluno_359,-31.341321,-54.100454
aluno_360,-31.347964,-54.106276
aluno_361,-31.329714,-54.09164
aluno_362,-31.324405,-54.110947
aluno_363,-31.346255,-54.099502
aluno_364,-31.338622,-54.093695
aluno_365,-31.337601,-54.118158
aluno_366,-31.321123,-54.105783
aluno_367,-31.326322,-54.084421
aluno_368,-31.333526,-54.108376
aluno_369,-31.317644,-54.114514
aluno_370,-31.348161,-54.081687
aluno_371,-31.312394,-54.086741
aluno_372,-31.324734,-54.111577
aluno_373,-31.32891,-54.083573
aluno_374,-31.326816,-54.08687
aluno_375,-31.348291,-54.084735
aluno_376,-31.332138,-54.125458
aluno_377,-31.347946,-54.08554
aluno_378,-31.346435,-54.091743
aluno_379,-31.326454,-54.082115
aluno_380,-31.322263,-54.127215
aluno_381,-31.329289,-54.081396
aluno_382,-31.317322,-54.129874
aluno_383,-31.339519,-54.091872
aluno_384,-31.34514,-54.12433
aluno_385,-31.330614,-54.106606
aluno_386,-31.338775,-54.084427
aluno_387,-31.322213,-54.104281
aluno_388,-31.332966,-54.123148
aluno_389,-31.335532,-54.105135
aluno_390,-31.314312,-54.122474
aluno_391,-31.336868,-54.091458
aluno_392,-31.338305,-54.10511
aluno_393,-31.313391,-54.094526
aluno_394,-31.311371,-54.083057
aluno_395,-31.323582,-54.111522
aluno_396,-31.339079,-54.126207
aluno_397,-31.314445,-54.095843
aluno_398,-31.334768,-54.093417
aluno_399,-31.340478,-54.107389
aluno_400,-31.32103,-54.108282
aluno_401,-31.347273,-54.126463
aluno_402,-31.348629,-54.123885
aluno_403,-31.324766,-54.123998
aluno_404,-31.321804,-54.120847
aluno_405,-31.310243,-54.093826
aluno_406,-31.311902,-54.095221
aluno_407,-31.315406,-54.120008
aluno_408,-31.344665,-54.084432
aluno_409,-31.31454,-54.082765
aluno_410,-31.337461,-54.095938
aluno_411,-31.313512,-54.088195
aluno_412,-31.33931,-54.120702
aluno_413,-31.313015,-54.124538
aluno_414,-31.335349,-54.124741
aluno_415,-31.312504,-54.083349
aluno_416,-31.324009,-54.113543
aluno_417,-31.345644,-54.092347
aluno_418,-31.340244,-54.119292
aluno_419,-31.315391,-54.080397
aluno_420,-31.322325,-54.106751
aluno_421,-31.316235,-54.082789
aluno_422,-31.317247,-54.126309
aluno_423,-31.341852,-54.089152
aluno_424,-31.313626,-54.118545
aluno_425,-31.318946,-54.09644
aluno_426,-31.322454,-54.08365
aluno_427,-31.319995,-54.111547
aluno_428,-31.344742,-54.091516
aluno_429,-31.341979,-54.093553
aluno_430,-31.311792,-54.112204
aluno_431,-31.320876,-54.096902
aluno_432,-31.31648,-54.0907
aluno_433,-31.325742,-54.111789
aluno_434,-31.34135,-54.123318
aluno_435,-31.330704,-54.086885
aluno_436,-31.345715,-54.103022
aluno_437,-31.338716,-54.105111
aluno_438,-31.33867,-54.113963
aluno_439,-31.338455,-54.123753
aluno_440,-31.332113,-54.107375
aluno_441,-31.348676,-54.096675
aluno_442,-31.319026,-54.123014
aluno_443,-31.33292,-54.087923
aluno_444,-31.33092,-54.09315
aluno_445,-31.344512,-54.104968
aluno_446,-31.349292,-54.1167
aluno_447,-31.320915,-54.097131
aluno_448,-31.336852,-54.088319
aluno_449,-31.324773,-54.098705
aluno_450,-31.344652,-54.101032
aluno_451,-31.331048,-54.121855
aluno_452,-31.319312,-54.101336
aluno_453,-31.33616,-54.122715
aluno_454,-31.339263,-54.105033
aluno_455,-31.322693,-54.087838
aluno_456,-31.334485,-54.092667
aluno_457,-31.317479,-54.109673
aluno_458,-31.310361,-54.097951
aluno_459,-31.34573,-54.126324
aluno_460,-31.330836,-54.110007
aluno_461,-31.347228,-54.122304
aluno_462,-31.344995,-54.113194
aluno_463,-31.33924,-54.087365
aluno_464,-31.314721,-54.08514
aluno_465,-31.332013,-54.083806
aluno_466,-31.319127,-54.104628
aluno_467,-31.317542,-54.105605
aluno_468,-31.343632,-54.129358
aluno_469,-31.329886,-54.117138
aluno_470,-31.322142,-54.090151
aluno_471,-31.323363,-54.105475
aluno_472,-31.312244,-54.095987
aluno_473,-31.34659,-54.084855
aluno_474,-31.344504,-54.128398
aluno_475,-31.348281,-54.105904
aluno_476,-31.317823,-54.081005
aluno_477,-31.346147,-54.124375
aluno_478,-31.311072,-54.083246
aluno_479,-31.349868,-54.098643
aluno_480,-31.347452,-54.083082
aluno_481,-31.320758,-54.099276
aluno_482,-31.320262,-54.119918
aluno_483,-31.328128,-54.115383
aluno_484,-31.347464,-54.082879
aluno_485,-31.342104,-54.107979
aluno_486,-31.315505,-54.101462
aluno_487,-31.321319,-54.089475
aluno_488,-31.347264,-54.10465
aluno_489,-31.330797,-54.082314
aluno_490,-31.339521,-54.108291
aluno_491,-31.34343,-54.082205
aluno_492,-31.310326,-54.088049
aluno_493,-31.343006,-54.116417
aluno_494,-31.343591,-54.119858
aluno_495,-31.313097,-54.11721
aluno_496,-31.347074,-54.124638
aluno_497,-31.318562,-54.121305
aluno_498,-31.344593,-54.095213
aluno_499,-31.337446,-54.095809
aluno_500,-31.313405,-54.124294
